Year,Company_name,SEC_code,Industry_type,CSR_commitee,CSR_board_size,Compliance_environmental_laws,EPA_fines,Amount_of_fines,SDG_targets,Issue_green_bonds,Govt_collaboration,Total_carbon_emissions,Direct_carbon_emissions,Indirect_carbon_emissions,Scope3_carbon_emissions,Environmental_scores,Disclosure_scores,Energy_conservation,Water_treatment,Recycling,Biodiversity,Waste_management,Green_innovation,GHG_sales,Net_zero_targets,Disclosure_of_R&D,Climate_change_policy,Renewal_energy,Dow_jones_sustainability_index,FTSE4Good_Index,MSCI_ESG_index,Global_reporting_initiative,Integrated_reporting_framework,Risk_score,Controversy_level,Planning_zero_carbon,ESG_funds
2017,Amphenol,APH,11,0,0,1,0,0,EG,0,0,293.11,38.29,254.82,0,39.14,48.11,1,1,1,0,1,0,41.96,0,0,0,0,1,0,3,0,0,21.58,2,0,526
2017,Analog Devices,ADI,12,0,0,1,0,0,EG,0,0,132.96,0,0,9.23,34.31,46.37,1,1,1,1,1,1,56.84,1,0,1,0,1,0,3,1,0,23.78,0,0,828
2017,Andersons,ANDE,5,0,0,0,0,0,ESG,0,1,0,0,0,0,0,30.93,0,0,0,0,0,0,53.91,0,0,0,0,1,0,0,0,0,0,0,0,76
2017,Anthem,ELV,6,1,4,1,0,0,ESG,0,1,121.86,6.01,115.85,120.8,24.65,48.25,1,1,0,0,1,1,0.73,0,0,0,0,1,0,3,1,0,11.48,2,0,1067
2017,Apple,AAPL,12,0,0,1,0,0,ESG,1,1,696,45.4,650.6,27394,43.19,52.74,1,1,1,1,1,1,3.6,1,1,1,1,1,0,3,0,0,16.41,3,1,1383
2017,Applied Materials,AMAT,8,0,0,0,0,0,ESG,0,0,168.1,36.5,131.6,17.32,38.6,57.24,1,1,1,0,1,0,9.96,0,1,0,0,1,0,3,1,0,11.56,1,0,1221
2017,Aramark,ARMK,5,0,0,0,0,0,EG,0,0,0,0,0,0,16.46,38.28,1,1,0,1,1,0,36.94,0,1,0,0,1,0,3,0,0,26.47,2,0,325
2017,Archer Daniels Midland,ADM,5,0,0,0,0,0,ESG,0,1,17471,14612,2859,0,39.08,57.05,1,1,0,1,1,0,221.02,0,1,1,0,1,0,3,1,0,36.4,3,0,610
2017,Arrow Electronics,ARW,17,0,0,1,0,0,ESG,0,0,0,0,0,0,2.08,35.27,1,1,0,0,1,0,34.37,0,0,0,0,1,0,3,0,0,9.94,1,0,390
2017,Arthur J. Gallagher,AJG,15,0,0,0,0,0,ESG,0,0,0,0,0,0,0.33,32.18,0,0,0,0,0,0,8.16,0,0,0,0,1,0,3,0,0,21.75,2,0,646
2017,Asbury Automotive Group,ABG,19,0,0,1,0,0,EG,0,0,0,0,0,0,0,29.23,0,0,0,0,0,0,11.28,0,0,0,0,1,0,0,0,0,0,0,0,116
2017,Assurant,AIZ,15,0,0,0,0,0,ESG,0,0,28.47,1.56,26.92,6.07,15.01,41.73,1,1,0,0,1,0,1.94,0,0,1,0,1,0,3,0,0,24.59,3,0,546
2017,AT&T,T,11,1,5,1,0,0,ESG,0,0,7999.78,1048.69,6951.08,5745.61,57.99,67.5,1,1,1,0,1,1,45.5,1,1,1,1,1,0,3,1,0,22.07,3,0,829
2017,Autoliv,ALV,1,0,0,0,0,0,ESG,0,0,378.16,102.1,276.06,0,46.27,54.04,1,1,0,1,1,0,56.23,1,1,1,0,1,0,0,0,0,16.95,3,0,179
2017,Automatic Data Processing,ADP,1,0,0,0,0,0,EG,0,0,0,0,0,0,0.91,35.01,1,0,0,0,1,1,8.94,1,0,0,0,1,0,3,1,0,13.97,1,0,1050
2017,AutoNation,AN,19,0,0,0,0,0,ESG,0,0,0,0,0,0,0,32.58,0,0,0,0,0,0,10.06,0,0,0,0,1,0,0,0,0,13,2,0,112
2017,AutoZone,AZO,19,0,0,0,0,0,EG,0,0,0,0,0,0,14.71,37.38,0,0,0,0,0,0,18.55,0,0,0,0,1,0,3,0,0,11.34,2,0,659
2017,Avery Dennison,AVY,7,1,5,1,0,0,EG,0,0,648.77,244.32,404.46,11.52,29.21,48.28,1,1,1,0,1,0,51.42,0,0,0,0,1,0,3,0,0,15.35,1,0,557
2017,Avis Budget Group,CAR,19,0,0,1,0,0,ESG,0,0,0,0,0,0,0,34.3,0,0,0,0,0,0,1085.79,0,1,0,0,1,2,0,0,1,20.08,2,0,109
2017,Avnet,AVT,16,0,0,1,0,0,ESG,0,0,58.94,4.84,54.1,0,22.77,40.81,1,1,0,0,1,0,3.08,0,0,1,0,1,2,0,1,0,10.2,1,0,140
2017,Baker Hughes,BKR,1,0,0,1,0,0,ESG,0,0,706.95,383.08,323.88,208.48,34.28,54.44,1,1,0,1,0,0,36.72,1,0,1,0,1,0,3,1,0,21.13,1,0,686
2017,Ball,BALL,8,0,0,0,0,0,ESG,0,0,1397.52,452.81,944.7,13200,47.93,62.13,1,1,1,0,1,0,111.04,1,1,1,0,1,2,3,1,0,10.81,2,0,874
2017,Bank of America,BAC,13,1,6,1,1,17567,ESG,0,0,918.35,82.3,836.05,5248.28,73.39,71.39,1,1,0,1,1,1,8.27,1,1,1,1,1,0,3,1,0,27.15,3,0,955
2017,Bank of New York Mellon ,BK,13,1,4,0,0,0,ESG,1,0,154.92,8.27,146.66,17.94,45.42,54.31,1,1,0,0,1,1,6.99,0,0,1,0,1,2,3,1,0,21.48,3,0,920
2017,Bath & Body Works,BBWI,6,0,0,0,0,0,ESG,0,0,0,0,0,0,17.64,38.42,1,1,1,1,1,1,27.38,0,0,1,0,1,0,3,0,0,15.74,2,0,451
2017,Baxter International ,BAX,6,0,0,0,0,0,ESG,0,1,573,295,278,4164,62.52,67.54,1,1,1,1,1,1,66.6,1,0,1,0,1,2,3,1,0,23.74,3,0,810
2017,Beacon Roofing Supply,BECN,1,0,0,0,0,0,E,0,0,0,0,0,0,0,31.68,0,0,0,0,0,0,14.79,0,0,0,0,1,0,0,0,0,0,0,0,74
2017,Becton Dickinson,BDX,7,0,0,0,0,0,ESG,0,0,297.27,87.64,209.63,1965.82,44.04,55.06,1,1,1,0,1,0,29.06,1,0,1,1,1,2,3,1,0,26.74,3,0,917
2017,Bed Bath & Beyond,BBBY,16,0,0,0,0,0,ESG,0,0,0,0,0,0,16.46,38.02,1,1,1,0,1,0,24.17,1,1,0,0,1,0,3,1,0,0,0,0,79
2017,Berkshire Hathaway,BRKA,15,0,0,1,1,0,ESG,0,1,0,0,0,0,0,30.79,0,0,0,0,0,0,250.68,0,0,0,0,1,0,3,0,0,16.02,1,0,0
2017,Berry Global Group,BERY,8,0,0,0,0,0,ESG,0,0,1414.54,153.65,1260.89,0,43.64,50.61,1,1,0,0,1,0,176.8,1,1,0,0,1,0,0,1,0,17.2,1,0,86
2017,Best Buy,BBY,16,1,4,0,0,0,ESG,0,0,548.86,210.55,338.32,3131.57,45.97,53.56,1,1,1,0,1,0,12.08,1,1,1,1,1,0,3,1,0,14.26,2,0,954
2017,Big Lots,BIG,16,0,0,0,0,0,ESG,0,0,0,0,0,0,0,34.08,0,0,0,0,0,0,45.81,0,0,0,0,1,0,0,0,0,0,0,0,93
2017,Biogen,BIIB,12,1,4,0,0,0,EG,0,1,103.27,61.62,41.65,482.24,42.49,58,1,1,1,0,1,1,10.45,1,1,1,1,1,0,3,1,0,21.05,3,0,1041
2017,BlackRock,BLK,13,0,0,0,0,0,EG,0,0,26.59,5.05,21.54,47.07,23.01,43.01,1,0,0,0,1,1,1.48,0,1,0,0,1,0,3,0,0,20.57,2,0,977
2017,Blackstone Group,BX,13,0,0,0,0,0,ESG,0,0,0,0,0,0,0,16.36,0,0,0,0,0,0,0.78,0,0,0,0,1,0,3,0,0,25.7,0,0,489
2017,Block,SQ,1,0,0,0,0,0,EG,0,0,0,0,0,0,1.27,32.46,1,1,0,0,0,0,1.6,1,0,0,0,1,0,3,0,0,18.77,1,0,680
2017,Boeing,BA,18,0,0,0,0,0,ESG,0,1,1131,235,896,0,23.32,42.47,1,1,0,1,1,1,25.86,1,0,1,0,1,0,3,0,0,34.68,4,0,246
2017,Boise Cascade,BCC,8,0,0,1,0,0,ESG,0,0,0,0,0,0,4.05,41.15,1,0,0,0,0,0,56.97,0,0,1,0,1,0,0,0,0,0,0,0,145
2017,Booking Holdings,BKNG,1,0,0,0,0,0,EG,0,0,0,0,0,0,0,32.07,0,0,0,0,0,0,0.15,1,0,0,0,1,0,3,0,0,22.33,3,0,957
2017,Booz Allen Hamilton Holding,BAH,12,0,0,0,0,0,ESG,0,0,0,0,16.75,92.03,3.65,32.94,1,0,0,0,1,1,3.09,1,1,0,0,1,0,3,0,0,16.49,2,0,370
2017,BorgWarner,BWA,19,1,4,0,0,0,EG,0,0,348.27,58.93,289.34,0,25.58,54.14,1,1,0,1,1,1,69.32,1,1,0,0,1,0,3,1,0,13.44,2,0,676
2017,Boston Scientific,BSX,7,0,0,0,0,0,ESG,0,1,94.95,34.08,60.87,0,52.94,60.49,1,1,1,0,1,1,5.18,1,0,1,1,1,0,3,0,0,26.33,2,1,758
2017,Brighthouse Financial,BHF,13,0,0,1,0,0,EG,0,0,0,0,0,0,0,31.95,0,0,0,0,0,0,7.03,0,0,0,0,1,0,0,0,0,21.71,0,0,136
2017,BristolMyers Squibb,BMY,6,0,0,0,0,0,ESG,0,0,374.4,243.8,130.6,63.8,35.7,54.02,1,1,1,1,1,1,7.49,1,0,0,0,1,0,3,0,0,22.83,2,0,1166
2017,Broadcom,AVGO,12,1,3,1,0,0,ESG,0,0,0,0,0,0,14.38,37.82,0,0,0,0,0,0,12.65,0,0,0,0,1,2,3,0,1,22.41,3,0,786
2017,Builders FirstSource,BLDR,7,0,0,1,0,0,EG,0,0,0,0,0,0,0,31.4,0,0,0,0,0,0,8.98,0,1,0,0,1,0,0,0,0,31.6,1,0,169
2017,Burlington Stores,BURL,2,0,0,0,0,0,EG,0,0,0,0,0,0,0,32.31,0,0,0,0,0,0,21.53,0,0,1,0,1,0,3,0,0,16.22,2,0,495
2017,C.H. Robinson Worldwide,CHRW,18,0,0,0,0,0,ES,0,0,0,0,0,0,21.78,47.58,0,0,0,0,0,0,1.65,0,0,0,0,1,0,3,0,0,20.17,1,0,749
2017,CACI International,CACI,12,0,0,0,0,0,EG,0,0,0,0,0,0,0,31.58,0,0,0,0,0,0,16.16,0,0,0,0,1,0,0,0,0,16.76,2,0,65
2017,Campbell Soup,CPB,5,0,0,0,0,0,ESG,0,0,687.42,427.56,259.86,9.74,49.62,60.99,1,1,1,1,1,1,96.58,0,0,1,0,1,2,3,1,0,22.56,2,0,700
2017,Camping World Holdings,CWH,19,0,0,0,0,0,EG,0,0,0,0,0,0,0.33,31.49,0,0,0,0,0,0,31.99,0,0,0,0,1,0,0,0,1,0,0,0,74
2017,Capital One Financial,COF,13,0,0,0,0,0,ESG,0,0,184.44,11.57,172.87,0,29.9,49.11,1,1,0,1,1,1,4.75,0,0,1,0,1,0,3,1,0,22.62,4,0,663
2017,Cardinal Health,CAH,6,0,0,0,0,0,ESG,0,1,369,149,220,20,29.75,53.16,1,1,1,0,1,1,4.19,0,1,0,0,1,0,3,0,0,12.28,3,0,763
2017,CarMax,KMX,19,0,0,1,0,0,EG,0,0,0,0,0,0,2.08,34.66,1,1,0,0,1,1,6.28,1,0,0,0,1,0,3,0,0,11.97,1,0,545
2017,Carrier Global,CARR,1,0,0,0,0,0,ESG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3,1,0,0,0,0,695
2017,Carvana,CVNA,19,0,0,0,0,0,EG,0,0,0,0,0,0,0,31.19,0,0,0,0,0,0,6.61,0,0,0,0,1,0,0,0,0,13.09,2,0,311
2017,Casey's General Stores,CASY,5,0,0,1,0,0,EG,0,0,0,0,0,0,0.33,31.14,0,0,0,0,0,0,60.47,0,0,0,0,1,0,0,0,0,29.76,2,0,72
2017,Caterpillar ,CAT,9,1,4,1,0,0,ESG,0,0,2150,860,1290,0,35.28,55.21,1,1,1,0,1,1,36.74,0,1,1,1,1,0,3,1,0,34.18,4,0,877
2017,CBRE Group,CBRE,1,0,0,0,0,0,ESG,0,0,71.07,46.06,25.01,18.63,32.98,62.86,1,1,0,0,1,1,3.63,0,1,1,0,1,2,3,1,0,6.99,1,0,934
2017,CDW,CDW,12,0,0,1,0,0,ESG,0,0,0,0,0,0,2.87,33.67,1,0,1,0,1,0,6.16,1,0,0,0,1,0,3,0,0,9.14,0,0,577
2017,Celanese,CE,8,1,0,1,0,0,EG,0,0,2827.6,1820.5,1027.1,0,39.35,54.36,1,1,1,0,1,1,564.08,0,0,0,0,1,0,3,0,0,29.27,2,0,484
2017,Centene,CNC,6,0,0,0,0,0,S,0,0,0,0,0,0,0.33,31.49,0,0,0,0,0,0,1.32,0,0,0,0,1,0,3,0,0,20.83,2,0,852
2017,CenterPoint Energy,CNP,4,0,0,0,0,0,ESG,0,0,0,5453.85,0,25576.3,27.33,46.22,1,0,0,1,1,0,1023.72,1,0,0,0,1,0,3,1,0,25.56,2,0,345
2017,Cerner,CERN,12,0,0,0,0,0,EG,0,1,0,0,0,0,0,35.49,0,0,0,0,0,0,26.69,0,0,0,0,1,0,0,0,0,21.38,2,0,595
2017,Charles Schwab,SCHW,13,0,0,0,0,0,EG,0,0,0,0,0,0,0.76,31.98,1,0,0,0,0,1,7.53,0,0,0,0,1,2,3,0,0,24.01,2,0,868
2017,Charter Communications,CHTR,11,0,0,0,0,0,EG,0,0,0,0,0,0,0,31.75,0,0,0,0,0,0,32.66,1,0,0,0,1,0,3,0,0,26.53,2,0,627
2017,Cheniere Energy,LNG,4,0,0,0,0,0,E,0,0,0,3505.69,0,0,10.36,46.87,0,0,0,0,0,0,699.28,0,0,0,0,1,0,3,0,0,23.67,2,0,614
2017,Chevron,CVX,4,1,4,1,1,0,ESG,0,1,68000,63000,5000,380000,43.64,60.73,1,1,0,1,0,0,446.51,1,0,1,0,1,0,3,0,0,37.61,3,0,535
2017,Chipotle Mexican Grill,CMG,5,0,0,0,0,0,E,0,0,235.95,103.16,132.79,0,21.38,40.52,1,1,1,0,1,0,39.82,0,1,1,0,1,0,3,0,0,24.19,2,0,599
2017,CHS,CHS,5,0,0,0,0,0,EG,0,0,0,0,0,0,14.38,39.92,0,0,0,0,0,0,34.2,0,0,0,0,0,0,0,0,0,0,0,0,43
2017,Cigna,CI,15,1,4,1,0,0,ESG,0,1,64.95,10.45,54.5,20.08,27.54,55.76,1,1,0,0,1,1,1.39,1,1,0,0,1,0,3,1,0,14.4,2,1,930
2017,Cincinnati Financial,CINF,13,0,0,0,0,0,ESG,0,0,33.75,17.22,16.53,0,5.26,35.21,1,1,0,0,1,1,3.04,0,0,0,0,1,0,3,0,0,25.62,1,0,509
2017,Cintas,CTAS,1,0,0,1,0,0,EG,0,0,0,0,0,0,14.38,38.51,0,0,0,0,1,1,70.83,1,0,0,0,1,0,3,0,0,18.81,2,0,634
2017,Cisco Systems,CSCO,12,0,0,0,0,0,ESG,0,1,777.98,41.91,736.06,34545.8,66.99,66.59,1,1,1,1,1,1,14.59,1,1,1,1,1,0,3,1,0,12.07,2,0,1391
2017,Citigroup,C,13,1,5,0,0,0,ESG,1,1,721.35,21.1,700.25,151.38,42.62,60.62,1,1,0,1,1,1,7.49,1,0,1,1,1,2,3,1,0,27.1,4,0,904
2017,Citizens Financial Group,CFG,13,0,0,0,0,0,EG,0,0,56.86,0,0,0,0.76,36.12,0,0,0,0,0,0,6.68,0,0,0,0,1,0,3,0,0,22.33,2,0,686
2017,Clorox,CLX,16,1,5,0,0,0,ESG,0,0,274,75,199,306,39.14,58.56,1,1,1,1,1,1,45.62,0,0,0,0,1,0,3,1,0,21.08,2,0,808
2017,CMS Energy,CMS,4,0,0,1,0,0,ESG,0,0,20120,12891,7229.25,14186.2,43.13,53.41,1,1,0,1,1,1,1964.23,1,0,1,1,1,0,3,0,0,21.29,2,0,347
2017,CocaCola,KO,5,1,3,0,0,0,ESG,0,0,879.43,400.6,478.83,56591.8,57.41,61.79,1,1,1,1,1,0,45.57,1,1,1,0,1,0,3,1,0,22.56,3,0,1121
2017,Cognizant Technology Solutions,CTSH,12,0,0,0,0,0,EG,0,0,0,0,0,0,16.79,40.32,1,1,0,0,1,0,6.9,1,0,1,0,1,0,3,0,0,14.38,2,0,779
2017,Colgate0Palmolive,CL,7,0,0,0,0,0,ESG,0,0,617.31,201.43,415.89,54086,62.22,72.09,1,1,1,1,1,1,38.46,1,1,1,0,1,2,3,1,0,22.12,3,0,1152
2017,Comcast,CMCSA,11,0,0,0,0,0,ES,0,0,0,0,0,0,15.61,46.12,1,0,0,0,1,0,20.96,1,0,0,0,1,0,3,0,0,24.76,2,0,950
2017,Commercial Metals,CMC,7,0,0,1,0,0,EG,0,0,0,0,0,0,5.89,34.76,1,1,0,0,1,0,451.71,0,1,1,0,1,0,0,1,0,0,0,0,113
2017,CommScope Holding,COMM,11,0,0,1,0,0,EG,0,0,212.08,91.95,120.14,0,33.89,48.15,1,1,1,1,1,0,23.51,0,0,1,0,1,0,0,1,0,14.76,0,0,99
2017,Community Health Systems,CYH,6,0,0,0,0,0,EG,0,1,0,0,0,0,16.46,41.4,1,1,0,0,1,0,42.67,0,0,0,0,1,0,0,0,0,0,0,0,66
2017,Conagra Brands,CAG,5,1,5,1,0,0,ESG,0,0,710,346.83,363.17,330.54,70.1,61.08,1,1,1,0,1,1,80.53,0,1,1,0,1,0,3,0,0,32.76,2,0,648
2017,ConocoPhillips,COP,4,1,4,0,0,0,ESG,0,1,20600,19400,1200,189083,52.4,63.02,1,1,0,1,1,0,483.41,1,0,1,0,1,2,3,1,0,34.9,2,0,590
2017,Consolidated Edison,ED,4,1,5,0,0,0,EG,0,1,4335,30.15,1320,33900,31.35,51.42,1,1,0,1,1,1,335.88,0,0,1,1,1,0,3,0,0,23.09,3,0,721
2017,Constellation Brands,STZ,5,0,0,0,0,0,ES,0,0,303.84,237.58,66.27,597.75,35.7,47.32,0,1,0,0,0,0,50.85,0,0,1,0,1,0,3,0,0,25.79,2,0,491
2017,CoreMark Holding,CORE,1,0,0,0,0,0,EG,0,0,0,0,0,0,0.33,33.53,1,0,0,0,0,0,16.3,0,0,0,0,1,0,0,0,0,0,0,0,7
2017,Corning,GLW,12,1,3,0,0,0,E,0,0,0,0,0,0,17.55,40.82,1,1,0,0,1,0,176.3,0,1,0,0,1,0,3,0,0,19.42,2,0,570
2017,Costco Wholesale,COST,17,0,0,1,0,0,EG,0,1,2358.63,0,0,0,16.79,39.46,1,1,1,0,1,1,17.5,0,0,0,0,1,0,3,0,0,24.19,3,0,813
2017,Coty,COTY,6,0,0,0,0,0,EG,0,0,104.91,40.41,64.5,54.07,24.59,43.19,0,0,0,0,0,0,13.58,0,0,0,0,1,0,0,0,0,32.7,2,0,92
2017,Crown Castle International,CCI,11,0,0,1,0,0,EG,0,0,0,0,0,0,0,33.51,0,0,0,0,0,0,13.16,1,0,0,0,1,0,0,0,0,13.2,0,0,860
2017,Crown Holdings,CCK,7,0,0,0,0,0,ESG,0,0,0,0,0,0,2.42,40.45,1,1,1,0,1,0,139.1,0,1,0,1,1,0,3,1,0,9.81,1,0,414
2017,CSX,CSX,18,1,5,1,0,0,EG,0,0,4927.4,4706.71,220.7,181.41,57.2,57.31,1,1,0,1,1,0,385.68,0,1,0,0,1,0,3,1,0,20.09,3,0,823
2017,Cummins,CMI,7,1,6,1,0,0,EG,0,0,845.47,304.81,540.67,1005310,69.59,64.69,1,1,1,0,1,1,35.98,1,1,0,1,1,2,3,1,0,19.36,2,0,982
2017,CVS Health,CVS,6,1,5,1,0,0,ESG,0,0,1425.23,206.94,1218.29,72.71,36.67,55.64,1,1,1,0,1,1,4.69,1,1,0,0,1,2,3,1,0,22.86,3,0,959
2017,D.R. Horton,DHI,9,0,0,0,0,0,EG,0,0,0,0,0,0,0.42,32.24,1,0,0,0,0,1,2.47,0,0,0,0,1,0,3,0,0,22.06,2,0,576
2017,Dana,DAN,19,0,0,0,0,0,ESG,0,1,624.33,0,0,0,21.56,42.43,1,1,0,0,1,0,71.96,0,1,0,0,1,0,0,0,0,0,0,0,134
2017,Danaher,DHR,1,1,4,1,0,0,EG,0,0,0,0,0,0,15.19,37.6,0,0,1,0,1,0,15.29,0,0,0,0,1,0,3,0,1,11.73,2,0,1184
2017,Darden Restaurants,DRI,5,0,0,0,0,0,EG,0,0,719.99,0,0,0,17.12,46.78,1,1,0,0,1,1,127.53,0,0,1,0,1,0,3,0,0,28.06,2,0,530
2017,DaVita,DVA,6,0,0,0,0,0,ESG,0,1,0,0,0,0,7.19,37.63,1,1,0,0,1,1,26.89,0,0,0,0,1,2,3,0,0,22.72,2,0,706
2017,DCP Midstream,DCP,4,0,0,1,1,359541,EG,0,0,0,9245.62,0,0,5.13,28.26,0,0,0,0,0,0,1507.64,1,0,0,0,1,0,0,0,0,0,0,0,17
